composition,melting_point,pre_condition,post_condition,cation_oxi,reference
Al2O3,2053,,,3,HB
Sb2O3,570,[''],[' trans'],3,HB
Sb2O3,655,,,3,HB
Sb2O4,1168,,,"3,5",10.1016/S0166-9834(00)80270-5
Sb2O5,852,,,5,10.1016/S0166-9834(00)80270-5
As2O3,274,,,3,HB
As2O3,314,,,3,HB
As2O5,730,,,5,HB
BaO,1973,,,2,HB
BeO,2577,,,2,HB
Bi2O3,825,,,3,HB
Bi2O4,305,,,"3,5",HB
CaO,2898,,,2,HB
CdO,1000,,,2,10.1016/0360-3199(82)90209-9
Ce2O3,2250,,,3,HB
CeO2,2480,,,4,HB
Cs2O,495,,,1,HB
Cr2O3,2432,,,3,HB
CrO2,400,['??],[' dec'],4,HB
Cr2O5,200,,[' dec'],5,HB
CrO3,197,,,6,HB
CoO,1830,,,2,HB
Co3O4,900,[''],[' dec'],"2,3",HB
Co2O3,895,[''],[' dec'],3,HB
Cu2O,1244,,,1,HB
CuO,1227,,,2,HB
Dy2O3,2408,,,3,HB
Er2O3,2418,,,3,HB
Eu2O3,2350,,,3,HB
Gd2O3,2425,,,3,HB
Ga2O3,1807,,,3,HB
GeO,700,[''],[' dec'],2,HB
GeO2,1116,,,4,HB
Au2O3,150,,[' dec'],3,HB
HfO2,2800,,,4,HB
Ho2O3,2415,,,3,HB
In2O3,1912,,,3,HB
Ir2O3,1000,[''],[' dec'],3,HB
IrO2,1100,[''],[' dec'],4,HB
FeO,1377,,,2,HB
Fe3O4,1597,,,"2,3",HB
Fe2O3,1539,,,3,HB
La2O3,2304,,,3,HB
PbO,489,['trans to massicot '],[''],2,HB
PbO,887,,,2,HB
Pb2O3,530,[''],[' dec'],"2,4",HB
Pb3O4,830,,,"2,3,4",HB
PbO2,290,[''],[' dec'],4,HB
Li2O,1438,,,1,HB
Lu2O3,2490,,,3,HB
MgO,2825,,,2,HB
MnO,1842,,,2,HB
Mn3O4,1567,,,"2,3",HB
Mn2O3,1080,[''],[' dec'],3,HB
MnO2,535,[''],[' dec'],4,HB
Mn2O7,5.9,,,7,HB
Hg2O,100,[''],[' dec'],1,HB
HgO,500,[''],[' dec'],2,HB
MoO2,1800,['??],[' dec'],4,HB
MoO3,802,,,6,HB
Nd2O3,2233,,,3,HB
NpO2,2547,,,4,HB
NiO,1957,,,2,HB
Ni2O3,600,['??],[' dec'],3,HB
NbO,1937,,,2,HB
NbO2,1901,,,4,HB
Nb2O5,1512,,,5,HB
OsO2,500,,[' dec'],4,HB
OsO4,40.6,,,8,HB
PdO,750,[''],[' dec'],2,HB
PtO,325,[''],[' dec'],2,HB
PtO2,450,,,4,HB
Pu2O3,2085,,,3,HB
PuO2,2390,,,4,HB
K2O,740,[''],[' dec'],1,HB
Pr2O3,2183,,,3,HB
ReO2,900,[''],[' dec'],4,HB
ReO3,400,[''],[' dec'],6,HB
Re2O7,297,,,7,HB
Rh2O3,1100,[''],[' dec'],3,HB
RhO2,680,,,4,10.1016/0022-5088(68)90070-2
Rb2O,505,[''],[' dec'],1,HB
RuO2,1300,[''],[' dec'],4,HB
RuO4,25.4,,,8,HB
Sm2O3,2335,,,3,HB
Sc2O3,2489,,,3,HB
SeO2,360,,,4,HB
SeO3,118,,,6,HB
Ag2O,827,['??],[' dec'],1,HB
AgO,100,['>'],[' dec'],2,HB
Ag2O2,100,['>'],[''],2,HB
Na2O,1134,[''],[' dec'],1,HB
SrO,2531,,,2,HB
Ta2O5,1875,,,5,HB
Tb2O3,2303,,,3,HB
TeO2,733,,,4,HB
TeO3,430,,,6,HB
Te2O5,500,,,"4,6",10.1007/BF02666000
Tl2O,579,,,1,HB
Tl2O3,834,,,3,HB
ThO2,3350,,,4,HB
Tm2O3,2341,,,3,HB
SnO,977,,,2,HB
SnO2,1630,,,4,HB
TiO,1770,,,2,HB
Ti2O3,1842,,,3,HB
Ti3O5,1777,,,"3,4",HB
TiO2,1912,,,4,HB
WO2,1500,['??],[' dec'],4,HB
WO3,1473,,,6,HB
UO2,2847,,,4,HB
U2O5,660,,,5,10.1007/s10973-013-3341-7
U3O8,1300,[''],[' dec'],"5,6",HB
UO3,650,,,6,https://info.ornl.gov/sites/publications/Files/Pub57536.pdf
VO,1790,,,2,HB
V2O3,1957,,,3,HB
VO2,1545,,,4,HB
V2O5,681,,,5,HB
Yb2O3,2355,,,3,HB
Y2O3,2439,,,3,HB
ZnO,1974,,,2,HB
ZrO2,2710,,,4,HB
TcO2,1100,,,4,10.1016/0022-1902(64)80152-4
Tc2O7,120,,,7,10.1016/0022-1902(64)80152-4
