system,mp_id,composition,solid_state_synthesized,new_label,result_from_WoS,input_composition_search,edited,number_of_result_examined,comment
Cs-V-O,mp-1192739,Cs2V3O8,1,,4,Cs2V3O8,,4,
Sc-Te-O,mp-558571,Sc2Te5O13,1,,1,Sc2Te5O13,,1,
Ba-Sb-O,mp-31238,Ba3Sb2O6,1,,0,Ba3Sb2O6; Ba3(SbO3)2,,0,
In-Cu-O,mp-20930,InCuO2,1,,85,CuInO2,,50,
Be-Al-O,mp-3081,BeAl2O4,0,"?, insufficient information: uncertain about the bulk material synthesized for subsequent crystal growth experiment",100,BeAl2O4,y,50,may not have read the whole experimental section in details
Na-Se-O,mp-5141,Na2SeO4,1,,254,Na2SeO4,,50,
Na-W-O,mp-29697,Na5W14O44,1,,3,Na5W14O44,,3,
Ca-As-O,mp-4555,CaAs2O6,1,,5,CaAs2O6,,5,
Tl-Cr-O,mp-9754,Tl2Cr3O12,1,,3,Tl2(CrO4)3,,3,
Cs-Cr-O,mp-573422,CsCr3O8,1,,1,CsCr3O8,,1,
Ge-Pb-O,mp-29217,Ge3PbO7,1,,4,PbGe3O7,,4,
Bi-Mo-O,mp-23388,Bi2Mo3O12,0,y,123,Bi2Mo3O12,y,50,missed paper from Web of Science/ did not continue reading after seeing the sample was provided by another source
Na-Sb-O,mp-27878,NaSb5O8,1,,1,NaSb5O8,,1,
Fe-As-O,mp-29472,Fe4As2O11,1,,4,Fe4As2O11,,4,
Cr-Hg-O,mp-559772,CrHg3O5,1,,1,Hg6Cr2O10,,1,
Cu-As-O,mp-22271,CuAs2O4,1,,10,CuAs2O4,,10,
Cr-Bi-O,mp-744682,Cr8Bi4O29,1,,2,Bi2(CrO4)2Cr2O7,,2,
Al-Ag-O,mp-9631,AlAgO2,1,,40,AgAlO2,,40,
Bi-Se-O,mp-1193554,Bi2Se3O10,1,,0,Bi2(SeO3)2(SeO4); Bi2Se3O10,,0,
La-V-O,mp-29855,LaV3O9,1,,1,LaV3O9,,1,
Hg-W-O,mp-29894,Hg2WO4,1,,3,Hg2WO4,,3,
Cu-Mo-O,mp-650741,Cu4Mo5O17,0,y,5,Cu4Mo5O17,y,5,misinterpretation of dsc/tga curve
Ag-Se-O,mp-16913,Ag2SeO3,1,,11,Ag2SeO3,,11,
Dy-Te-O,mp-510342,Dy2Te4O11,1,,1,Dy2Te4O11,,1,
K-Mn-O,mp-504636,K2MnO4,1,,30,K2MnO4,,30,
Cu-Sb-O,mp-1193545,CuSb2O4,1,,2,CuSb2O4,,2,
Li-Mn-O,mp-19438,LiMnO4,1,,26,LiMnO4,,26,
Rb-Ta-O,mp-5461,Rb3TaO8,1,,0,Rb3TaO8; TaRb3O8; Rb3Ta(O2)4; Rb3[Ta(O2)4],,0,
Yb-V-O,mp-1199587,Yb2VO5,1,,0,Yb2VO5;VYb2O5;Yb2O(VO4),,0,
Ag-Se-O,mp-11641,Ag2SeO4,1,,12,Ag2SeO4,,12,
Mn-Ag-O,mp-608357,MnAgO4,1,,24,AgMnO4,,24,
Rb-Tl-O,mp-556433,Rb5Tl3O,1,,1,Rb10Tl6O2,,1,
Tm-Te-O,mp-555236,Tm2Te5O13,1,,0,Tm2Te5O13; Te5Tm2O13,,0,
Fe-As-O,mp-510450,Fe7As6O24,1,,0,Fe7As6O24;As6Fe7O24;Fe7(AsO4)6,,0,
Ca-Be-O,mp-27407,Ca12Be17O29,1,,0,Ca12Be17O29;Be17Ca12O29,,0,
Cd-Te-O,mp-30940,Cd2Te2O7,0,?; insufficient information: uncertain phase percentage,2,Cd2Te2O7,y,2,misinterpretation of synthesis aim
Eu-Mo-O,mp-553893,Eu6Mo10O39,1,,1,Eu6Mo10O39,,1,
Rb-Cr-O,mp-561093,Rb2Cr2O7,1,,8,Rb2Cr2O7,,8,
Zr-V-O,mp-504834,Zr3V3O,1,,12,Zr3V3O,,12,
Sr-Os-O,mp-556809,Sr11Os4O24,1,,1,Sr11Os4O24,,1,
Al-Cu-O,mp-29225,Al4Cu2O7,1,,2,Cu2Al4O7,,2,
K-Fe-O,mp-31218,K3FeO2,1,,1,K3(FeO2),,1,
Bi-Mo-O,mp-1202541,Bi8Mo3O21,1,,1,Bi8Mo3O21,,1,
Bi-Mo-O,mp-558215,Bi10Mo3O24,1,,5,Bi10Mo3O24,,5,
Na-Bi-O,mp-22984,NaBiO2,0,y,7,NaBiO2,y,7,misread of translation
Ag-Bi-O,mp-23548,AgBiO3,1,,14,AgBiO3,,14,
Nd-Cu-O,mp-556595,Nd4Cu2O7,1,,3,Nd4Cu2O7,,3,
Yb-V-O,mp-703673,YbVO3,0,y,4,YbVO3,y,4,missed paper from google scholar
Cs-Mo-O,mp-645299,Cs2Mo2O11,1,,0,Cs2Mo2O11;Mo2Cs2O11;Cs2{O[MoO(O2)2]2},,0,
U-Co-O,mp-22523,U2Co3O8,0,y,3,Co3U2O8,y,3,outside of search range
Sr-Fe-O,mp-21926,SrFe2O4,1,,32,SrFe2O4,,32,
Pu-Se-O,mp-555672,PuSe2O6,1,,2,Pu(SeO3)2,,2,
Tl-As-O,mp-15573,Tl3AsO4,1,,0,Tl3AsO4;AsTl3O4;Tl3(AsO4),,0,
Gd-Mo-O,mp-704325,Gd4Mo7O27,1,,3,Gd4Mo7O27,,3,
Cs-Nb-O,mp-581217,Cs2Nb4O11,0,y,11,Cs2Nb4O11,y,11,
,,,,,,,,,
,,,,,,,,,
