system,mp_id,composition,solid_state_synthesized,highest_heating_temperature(K),pressure_and_atmosphere,mix_and_grind,cooling,number_of_heating_step,precursor,single_crystal,reference_year,reference,edited
Cr-Mo-O,mp-704707,Cr2Mo3O12,1,1,1,miss,1,1,1,1,1,1,y
Er-Mo-O,mp-16391,Er4Mo4O11,1,1,miss,,1,1,1,1,1,1,y
Na-Fe-O,mp-19026,Na4FeO3,1,1,,,,1,0,1,1,1,y
Ca-As-O,mp-8789,Ca4As2O,1,1,1,,,1,miss,1,1,1,y
Nd-Ir-O,mp-1190299,Nd2Ir2O7,1,1,1,,,1,1,1,1,1,
La-Mo-O,mp-654080,La5Mo32O54,1,1,,,1,1,1,1,1,1,
Co-Sb-O,mp-21908,CoSb2O6,1,1,1,,,1,1,1,1,1,
Ca-Ta-O,mp-3079,CaTa4O11,1,1,miss,,,1,1,1,0,1,y
Ba-W-O,mp-19048,BaWO4,1,1,1,,,1,1,1,1,1,
Ba-Mn-O,mp-27323,BaMn2O3,1,1,1,,,1,1,1,1,1,
Ba-Pb-O,mp-22230,BaPbO3,1,1,1,1,1,1,1,1,1,1,
Al-Cd-O,mp-1190488,Al4CdO7,1,1,1,miss,miss,1,1,1,1,1,
Li-As-O,mp-9197,Li3AsO4,1,1,1,,1,1,1,1,0,1,y
Sr-V-O,mp-5206,SrV6O15,1,1,1,,,1,1,1,1,1,
Ni-Sb-O,mp-21275,NiSb2O4,1,0,1,,,1,1,1,1,1,y
Tm-Ge-O,mp-14708,Tm2Ge2O7,1,1,1,1,,1,1,1,1,1,
Tm-Mo-O,mp-16392,Tm4Mo4O11,1,1,1,,1,1,1,1,1,1,
Sr-Pb-O,mp-20944,Sr2PbO4,1,1,1,,,1,1,1,1,1,
Na-Ag-O,mp-3527,Na3AgO2,1,1,1,,,1,1,1,1,1,
Pr-Sc-O,mp-559756,PrScO3,1,1,1,1,,1,1,1,1,1,
La-Ti-O,mp-560383,La4Ti9O24,1,1,1,,,1,1,1,1,1,
Ga-Te-O,mp-30187,Ga2Te4O11,1,1,,,miss,1,1,1,1,1,
V-Se-O,mp-557295,VSe2O6,1,1,,,,1,1,1,1,1,
Ho-Hg-O,mp-11706,Ho2HgO4,1,1,1,,,1,1,0,1,1,y
Tl-V-O,mp-1192129,Tl3V5O14,1,1,1,,,1,1,1,1,1,
Ir-Pb-O,mp-1190246,Ir2Pb2O7,1,1,1,,,1,1,1,1,1,
Mg-Rh-O,mp-3319,MgRh2O4,1,1,1,1,,1,1,1,1,1,
Mg-Te-O,mp-769077,Mg2Te3O8,1,1,1,,,1,1,1,1,1,
Er-Ru-O,mp-30902,Er2Ru2O7,1,1,1,miss,,1,1,1,1,1,
Er-Mn-O,mp-19217,ErMnO3,1,1,1,,,1,1,1,1,1,
K-Cr-O,mp-19335,KCr3O8,1,1,1,,,1,1,1,1,1,
Cd-As-O,mp-10486,Cd2As2O7,1,1,,,,1,,1,1,1,
Li-Ga-O,mp-4657,Li5GaO4,1,1,1,,,1,1,1,1,1,
Cd-Rh-O,mp-14100,CdRh2O4,1,1,1,,,1,1,1,1,1,
Li-Dy-O,mp-10251,LiDyO2,1,1,1,1,,1,1,1,1,1,
Pr-V-O,mp-19169,PrVO4,1,1,1,,,1,1,1,1,1,
Dy-Tc-O,mp-558960,Dy2Tc2O7,1,1,1,,1,1,1,1,1,1,
Nd-As-O,mp-556843,NdAsO4,1,1,1,,,1,1,1,1,1,
K-Ni-O,mp-505153,K3NiO2,1,1,1,1,,1,1,1,1,1,
La-Sn-O,mp-4086,La2Sn2O7,1,0,1,,1,1,1,1,1,1,y
Mg-Sb-O,mp-3653,MgSb2O6,1,1,1,1,,1,1,1,0,1,y
Cs-Ge-O,mp-573150,Cs2GeO3,1,1,,,1,1,1,1,1,1,
K-V-O,mp-29230,KV4O8,1,1,1,,,1,1,1,1,1,
K-Bi-O,mp-29524,K3BiO3,1,1,1,,1,1,1,1,1,1,
Na-Nb-O,mp-29162,NaNb10O18,1,1,1,,,1,1,1,1,1,
K-Sc-O,mp-8188,KScO2,1,1,1,1,1,1,1,1,1,1,
Li-Ga-O,mp-28146,LiGa5O8,0,1,1,0,,1,1,1,1,1,y
Hg-Mo-O,mp-29893,Hg2MoO4,1,1,1,,1,1,1,1,1,1,
Ba-Tc-O,mp-555174,BaTcO3,1,1,1,,1,1,1,1,1,1,
Cs-Te-O,mp-614803,Cs2TeO3,1,,1,,,,1,1,1,1,
Pr-Ti-O,mp-1195324,Pr2TiO5,1,1,1,1,1,1,1,1,1,1,
Pr-Nb-O,mp-4709,PrNbO4,1,1,1,1,1,1,1,1,1,1,
V-Ag-O,mp-18889,VAg3O4,1,1,1,,,1,1,1,1,1,
Rb-Ni-O,mp-19167,Rb2NiO2,1,1,1,,,1,1,1,1,1,
Ga-As-O,mp-3996,GaAsO4,1,1,1,,,1,1,1,1,1,
Na-Cr-O,mp-578604,NaCrO2,1,1,1,,,1,1,1,1,1,
Sr-Ti-O,mp-31213,Sr4Ti3O10,1,1,1,,,1,0,1,1,1,y
Pr-Sb-O,mp-555896,Pr9Sb5O5,1,1,1,miss,1,1,1,1,1,1,y
Sr-Co-O,mp-1298346,Sr2CoO4,1,1,1,,1,1,1,1,1,1,
Eu-Ti-O,mp-505801,Eu2Ti2O7,1,1,1,,,1,1,1,1,1,
Cd-Sb-O,mp-8922,CdSb2O6,1,1,1,,,1,0,1,1,1,y
Sr-Ta-O,mp-17715,SrTa2O6,1,1,1,1,,1,1,1,1,1,
Ba-Lu-O,mp-542832,Ba3Lu4O9,1,1,1,1,,1,1,1,1,1,
K-Bi-O,mp-29799,KBiO3,1,1,1,1,,1,1,1,1,1,
Co-Ge-O,mp-18758,Co2GeO4,1,1,1,,1,0,1,1,1,1,y
Sr-Ga-O,mp-1020723,Sr2Ga2O5,1,1,1,1,1,1,1,0,1,1,y
Cs-Co-O,mp-540730,Cs2CoO3,1,,1,,,1,1,1,1,1,
U-V-O,mp-541493,UV2O8,1,1,1,,,1,1,1,1,1,
Rb-Co-O,mp-30194,Rb3CoO2,1,1,1,,,1,1,1,1,1,
Ca-Zr-O,mp-4571,CaZrO3,1,1,1,1,,1,1,1,1,1,
Y-Nb-O,mp-5387,YNbO4,1,1,1,1,1,1,1,1,1,1,
Ca-Sb-O,mp-9125,CaSb2O6,1,1,1,,,1,1,1,1,1,
K-V-O,mp-19172,KV3O8,1,1,1,,,1,1,1,1,1,
Ni-Ge-O,mp-22638,Ni2GeO4,1,1,1,1,1,1,1,1,1,1,
Nd-Mn-O,mp-19393,NdMn2O5,1,1,1,,,1,1,1,1,1,
Mn-Se-O,mp-19175,MnSe2O5,1,1,1,,1,1,,1,1,1,
Gd-Fe-O,mp-557370,Gd3Fe5O12,1,1,1,,,1,,1,1,1,
Mn-V-O,mp-17899,Mn3V2O8,1,1,1,1,,1,1,1,1,1,
Nb-Sn-O,mp-3324,Nb2SnO6,1,1,1,1,,1,1,1,1,1,
K-Ge-O,mp-560875,K2Ge4O9,1,1,1,1,,1,1,1,1,1,
Ba-Fe-O,mp-1196071,Ba2Fe2O5,1,1,1,1,,1,0,1,1,1,y
K-Pb-O,mp-505187,K6Pb2O5,1,1,1,,1,1,1,1,1,1,
K-Ti-O,mp-8065,K2Ti6O13,1,1,1,1,,1,1,1,1,1,
K-Mg-O,mp-12171,K6MgO4,1,1,1,,miss,1,1,1,1,1,
La-Au-O,mp-28853,LaAuO3,1,1,1,,1,1,1,1,1,1,
