mp_id,icsd_ids,composition,general_synth_score,ss_synth_score,synthesized,ss_synthesized,reference,comment
mp-756648,[],LiNdO2,0.978422928,0.977854372,y,y,10.1021/cm010728u,
mp-1210288,[],Na3MoO4,0.92358884,0.927571655,y,n,https://gallica.bnf.fr/ark:/12148/bpt6k6215859w/f33.item#,
mp-778430,[],K8Al2O7,0.840742001,0.925600369,n,n,,
mp-781861,[],Nb2CdO6,0.950159272,0.924526697,y,y,10.1016/0025-5408(77)90174-X,
mp-1217425,[],U2Nb6O21,0.950204486,0.898125347,y,?,https://gallica.bnf.fr/ark:/12148/bpt6k6237425w/f152.item,uncertain of the role of boric acid
mp-1200359,[422749],Na12(CuO2)7,0.878122607,0.895027654,n,n,,
mp-769571,[],Ba2Ta2O7,0.930844112,0.894420176,?,?,10.1021/cm803145n,"synthesized as a precursor, but no known characterization was found"
mp-1207551,[],YbMoO4,0.874914665,0.888896477,y,n,10.1016/j.ceramint.2016.09.004,
mvc-3343,[],Zn3Sn2O7,0.804147317,0.869258981,n,n,,
mp-768915,[],Na3AuO3,0.724474838,0.862550801,n,n,,
mp-774805,[],Na6Mn7O10,0.84695411,0.861324279,n,n,,
mvc-16004,[],Ti2Zn3O7,0.815340481,0.85332158,?,?,10.1111/j.1151-2916.2001.tb00793.x,"according to the references, aside from early reports, later exploration of Zn-Ti-O system did not find Zn3Ti2O7."
mp-1221435,[],Pr4(MoO2)9,0.85689867,0.852549327,y,y,10.1021/ic980500h,
mp-758139,[],Sr21Co14O43,0.742659761,0.843978741,n,n,10.1103/PhysRevB.74.174417,a series of other Sr3Co2Ox where 5.64<x<6.6 has been synthesized
mp-1197010,[421515],Sr5Ti9O23,0.887745053,0.841065744,n,n,,
mp-1223708,[],K2Mo8O13,0.796521187,0.838101551,n,n,,
mp-572124,[97007],SrTi2O5,0.891197495,0.83259941,n,n,,
mp-1096838,[],Ba(AgO)2,0.857075365,0.827274274,n,n,,
mp-1207107,[],Pr2CoO4,0.932518191,0.826240513,y,y,10.1016/0022-4596(88)90260-5,non-stoiciometric
mp-774428,[],K3V14O28,0.772183302,0.826217333,n,n,,
mp-1212003,[],La3Fe5O12,0.956808048,0.825533603,y,n,10.1177/0021998311423857,
mp-1197629,[421516],Sr3Ti5O13,0.866631381,0.818629277,n,n,,
mp-675539,[],Na7Cu3O8,0.804159708,0.818374297,y,y,10.1002/zaac.200400225,
mp-1202462,[421517],Sr5Ti8O21,0.850956074,0.811539803,n,n,,
mp-674312,[],Eu2Nb4O13,0.872415954,0.810257679,n,n,,
mp-1147775,[],Ba2OsO4,0.827028125,0.807317801,n,n,,
mp-1018032,[181059],SrCdO2,0.878030775,0.805184294,n,n,,
mp-1224074,[],K6Nb11O30,0.481023934,0.798321011,n,n,,closest stoichiometry is K6Nb10.88O30 on ICSD
mp-37749,[],Na10Fe4O9,0.750529364,0.798199895,y,n,,reaction with wall
mp-1198567,[421518],Sr25Ti39O103,0.824058809,0.791178398,n,n,,
mp-757454,[],Mn6PbO12,0.771566986,0.790227065,n,n,,
mp-1202132,[421520],Sr5Ti7O19,0.804910985,0.789233663,n,n,,
mp-1214451,[],Ca4(CuO2)5,0.761662814,0.789195974,y,y,10.1021/cm00008a022,
mp-1209470,[],Pr2WO6,0.858099237,0.787365898,y,y,10.1016/0022-4596(73)90170-9,
mp-1201432,[421519],Sr15Ti23O61,0.818473274,0.786655602,n,n,,
mp-755102,[],K6Cr2O9,0.851442764,0.781067187,n,n,,
mp-7601,[],NbGaO4,0.760215225,0.77736774,y,y,10.1007/BF00550645,
mp-1206526,[],Nd2CoO4,0.937852406,0.775206739,?,?,10.1016/j.jssc.2014.03.012,cannot find the reference 31
mp-863423,[],SrGa12O19,0.681039316,0.765581692,y,y,10.1016/0022-4596(90)90081-8,
mp-1208813,[],Sr3Ta5O15,0.78665931,0.757283214,y,y,10.1021/cm00050a022,
mp-1236862,[],TbSbO4,0.905074251,0.756277144,y,y,10.1021/cm502504b,
mp-555225,[161099],Bi2Rh2O7,0.804984938,0.751824447,y,y,10.1016/S0025-5408(97)00008-1,off-stoichiometric
mp-1211710,[],La3Sb5O12,0.848952342,0.749699219,y,y,10.1016/j.ceramint.2018.05.230,doped: Eu
mp-1208410,[],TbMoO5,0.894137604,0.746071608,n,n,,
mp-773070,[],KNb2O5,0.689060344,0.737437545,n,n,,
mp-36866,[183382],Al2CdO4,0.824923249,0.729320395,y,y,10.1039/C7RA01623A,polymorph of the icsd id
mp-705680,[],La2Mo2O9,0.92759677,0.723489371,y,y,10.1016/S0167-2738(03)00279-0,
mp-1223388,[],Na11(Ru4O9)4,0.820440889,0.719868208,n,n,10.1016/j.jssc.2005.10.016,Na2.7Ru4O9 has been synthesized
mp-753320,[],RbV4O10,0.725341186,0.718310921,n,n,,
mp-981103,[181060],Sr3CdO4,0.830608345,0.70511633,n,n,,
mp-674350,[],TiPb9O11,0.620151336,0.702565439,n,n,,
mp-1212067,[],InSbO4,0.52536004,0.69445135,y,y,10.1524/zkri.1963.118.16.158,
mp-1095551,[181897],K8AsO3,0.785626541,0.690874579,n,n,,
mp-780409,[],La4Al2O9,0.669689926,0.688978799,y,n,10.1111/j.1151-2916.1996.tb08732.x,coprecipitation
mp-1210263,[],Np(MoO4)2,0.484792207,0.687645705,n,n,,
mp-863405,[],Mn8PbO16,0.66885847,0.680266178,y,n,American Mineralogist (1989) 74 (7-8): 913–917,coronadite 
mp-685341,[],Bi16Ru16O55,0.527763857,0.673124944,n,n,,closest stoichiometry is Bi2Ru2O6.92 on ICSD
mp-1100777,[],VTeO3,0.549547129,0.669840302,n,n,,
mp-1102223,[181898],K8SbO3,0.794076508,0.665106054,n,n,,
mp-1186220,[],NbFeO3,0.553335128,0.6558893,?,?,http://imet-uran.ru/files/Mansurova_avtoreferat.pdf,translation issue: russian thesis
mp-756148,[],Sm2Pt2O7,0.730564461,0.655494521,n,n,,
mp-1244839,[],CuMo2O7,0.665047216,0.65547195,n,n,,
mp-1040472,[],KWO3,0.489268289,0.651860296,?,?,10.1002/anie.201701732,minority phase
mp-1185009,[],KOsO3,0.535260056,0.645646202,n,n,,
mp-772962,[],K2W3O10,0.576447354,0.64503425,y,y,10.1107/S0567740876005682,
mp-973123,[],ScPdO3,0.639390864,0.644347444,n,n,,
mp-1207871,[],VPbO4,0.496068454,0.64218072,n,n,,some typos were observed during searching
mp-1208337,[],TcAgO2,0.669077645,0.641592543,n,n,,
mp-1219180,[],Sm2SbO2,0.49729386,0.640376765,y,y,10.1021/ja209652d,
mp-767432,[],Sr16V8O31,0.722285879,0.633263893,?,?,10.1016/0025-5408(92)90225-O,might be oxygen deficient Sr2VO4
mp-674374,[],In11(SbO8)3,0.544009655,0.63182413,y,y,10.1016/j.jssc.2004.07.039,
