mp_id,icsd_ids,composition,ss_synth_score,ss_synthesized,reference,comment
mp-29273,"[200603, 249322]",Ca2Ge7O16,0.735965084,y,10.1016/j.materresbull.2015.10.028,
mp-562779,[172049],ErCoO3,0.615949226,y,10.1016/0022-4596(74)90075-9,
mp-505253,"[80027, 79308]",U2V2O11,0.612030855,n,,solution
mp-8603,"[40155, 188526, 49753]",RbAgO,0.608975968,n,,reaction with wall
mp-561983,[170874],Eu3OsO7,0.607122887,n,,flux
mp-13195,[245048],NdSbO4,0.603847065,y,10.1002/zaac.200600249,
mp-648992,[37032],Na6Mo10O33,0.600555006,n,,from melt
mp-1202541,[262966],Bi8(MoO7)3,0.597591977,n,,precipitation
mp-12929,[415339],SmAsO4,0.591315732,n,,flux
mp-1193763,[190444],Cu3Mo2O9,0.590486682,y,10.1002/zaac.19966220826,
mp-541147,[60655],Cu4Se3O10,0.590214822,n,,hydrothermal
mp-651048,"[201930, 62687]",Ag9(BiO3)2,0.589025227,n,,from melt
mp-1195315,[5465],Ba12(CoO3)11,0.586304496,y,10.1021/cm001056v,
mp-1198098,[181573],La3IrO7,0.582929003,y,10.1002/aenm.202003561,new paper
mp-1106049,[261608],CoAgO2,0.582912175,n,,ion exchange
mp-19265,"[162114, 162116, 87803, 162115]",DyNiO3,0.581892672,n,,co-precipitation
mp-2980,"[96264, 413655]",Pr2Te4O11,0.581363489,y,10.1016/S0020-1693(00)84652-6,
mp-683963,[171144],Gd3RuO7,0.577570616,y,10.1103/PhysRevB.62.12235,
mp-16543,[94388],Cs3Cu5O4,0.575038261,y,10.1002/zaac.19835040908,
mp-19710,"[80547, 9233, 22320]",Tb3Fe5O12,0.572073339,y,10.1109/TMAG.2013.2245111,
mp-558571,[417712],Sc2Te5O13,0.571917364,n,,flux
mp-9986,"[409553, 43006]",CsAuO,0.566730006,n,,oxidation
mp-1209329,[185833],PrVO3,0.565863786,y,10.1021/ja01633a031,
mp-17598,[50704],Cu2Te3O8,0.565444852,n,,hydrothermal
mp-16825,[170875],Gd3OsO7,0.561856043,n,,flux
mp-20210,"[65998, 24037]",Ag2PbO2,0.561735348,n,,precipitation
mp-30995,[25021],Fe2Te4O11,0.559837771,y,10.1002/crat.2170270617,
mp-647813,"[30204, 300021]",Cs2CrO4,0.559420496,y,10.1016/S0022-3115(97)00233-X,
mp-21126,[36464],V2PbO6,0.558047371,n,,from melt
mp-1019612,[423335],Cs4ZnO3,0.557927701,n,,from melt
mp-1192739,"[430711, 430708, 430710, 430709, 251010]",Cs2V3O8,0.557842609,n,,hydrothermal
mp-4405,"[79087, 75499]",Rb3AuO,0.554540703,n,,from melt
mp-18865,"[94465, 94466]",K3(FeO2)2,0.553765495,n,,reaction with wall
mp-8387,[37135],Tl6TeO6,0.553276763,n,,reduction
mp-565434,[245305],Sr8Co8O23,0.552620583,n,,reduction
mp-29454,[202028],Na3TlO2,0.552450521,n,,from melt
mp-1197806,[380392],Ba16Re6O37,0.550910162,n,,flux
mp-647867,[260424],La4Mo7O27,0.550456616,n,,flux
mp-22328,[37268],K4PbO4,0.550215251,n,,oxidation
mp-1196304,[250508],NiTe6O13,0.549579812,n,,hydrothermal
mp-704325,[280968],Gd4Mo7O27,0.546474464,n,,pyrolysis
mp-29911,[280592],Ba3Sb2O,0.546080065,n,,from melt
mp-621945,[202606],La2Ge2O7,0.543806737,n,,from melt
mp-1196481,[88996],Sr3Te4O11,0.543434155,n,,from melt
mp-510273,[59329],CsSbO2,0.543029973,n,,from melt
mp-556809,[67821],Sr11(OsO6)4,0.542009055,n,,flux
mp-10543,[280867],K3SbO4,0.539369072,n,,from melt
mp-505802,[92839],Sn(Mo2O3)2,0.53869776,n,,flux
mp-18716,[90926],SrV4O9,0.53836831,n,,hydrothermal
mp-18456,[81938],LaCrO4,0.537873261,n,,pyrolysis
mp-30906,[97713],Sr2Al6O11,0.537522234,n,,flux
mp-558489,[4135],Ca6Hf19O44,0.53654327,n,,co-precipitation
mp-558164,[108957],CaHf4O9,0.535004004,n,,co-precipitation
mp-557633,[249546],Sn2WO5,0.53485304,n,,hydrothermal
mp-554919,[48138],Tl4Mo5O17,0.533978872,n,,from melt
mp-16398,[412212],Na9Fe2O7,0.530679563,n,,reaction with wall
mp-31256,[413442],U(SbO3)2,0.529514546,n,,hydrothermal
mp-561036,[417293],FeTe6O13,0.52704474,n,,hydrothermal
mp-28254,[48007],LiRuO2,0.521353873,n,,lithiation
mp-1188225,"[187199, 187198, 187200]",SmVO3,0.520427541,y,10.1021/ja01633a031,
mp-21926,[94350],Sr(FeO2)2,0.518803556,?,10.1016/S0025-5408(01)00767-X,uncertain phase percentage
mp-29581,[202189],La2Mo2O7,0.518716273,n,,molten salt electrolysis
mp-15573,[407561],Tl3AsO4,0.518512661,n,,hydrothermal
mp-1103169,"[188524, 49752]",NaAgO,0.517917067,n,,reaction with wall
mp-17868,[16654],NaAsO3,0.129621568,n,,decomposition
mp-20285,"[27052, 32546, 185930]",NaPt3O4,0.129500189,y,10.2109/jcersj2.121.884,inhomogeneous
mp-28519,[40524],Fe4As5O13,0.128598403,n,,
mp-12944,[155919],HoAsO4,0.128087178,y,10.1002/zaac.200400544,
mp-551749,[249209],La3(NiO3)2,0.123525555,n,,reduction
mp-705094,[419758],Co2As2O5,0.12312639,n,,byproduct formed from reaction of reactants with impurities or apparatus
mp-5618,"[16885, 23548]",Mg2As2O7,0.123119798,n,,decomposition
mp-28447,[50005],Mg(BiO3)2,0.120953213,n,,hydrothermal
mp-559824,[170260],Au2Se3O10,0.115792264,n,,hydrothermal
mp-650929,[62766],Na2Ti9O19,0.114303284,n,,hydrothermal
mp-555660,[59305],Li2V6O13,0.112452075,n,,lithiation
mp-13976,[25811],Yb2SeO2,0.102910633,n,,solid-gas reaction
mp-556203,"[73921, 73922]",La8Ni4O17,0.102633218,n,,
mp-504678,[25699],CoSeO4,0.100901308,n,,decomposition
mp-29472,[100442],Fe4As2O11,0.096070499,n,,precursor method
mp-19077,[62132],CrAsO4,0.095084016,n,,hydrothermal
mp-557471,"[165268, 73489, 165270, 165271, 165269]",MnAsO4,0.094082219,n,,decomposition
mp-510450,[59865],Fe7(AsO4)6,0.066798858,n,,chemical transport reaction
mp-28699,[67845],Li4V3O8,0.066552855,n,,lithiation
mp-13975,[25810],Er2SeO2,0.058739759,n,,solid-gas reaction
mp-504423,[1979],Mn3(CoO4)2,0.042295306,n,https://gallica.bnf.fr/ark:/12148/bpt6k6236332c/f81.item#,hydrothermal
mp-21784,[624],Mn3Cu3O8,0.04189158,y,10.1016/0022-3697(66)90045-X,
mp-18718,[40470],Ca(NiO2)4,0.033608505,n,,ion exchange
mp-504567,[971],Mn3(CuO4)2,0.032504107,n,,hydrothermal
mp-19442,"[80301, 40584]",Mn(Ni3O4)2,0.028989174,n,10.1016/0022-1902(64)80116-0,coprecipitatoin
mp-29697,[280172],Na5(W7O22)2,0.025803855,n,,electrolysis of molten salt
mp-1192094,[192706],Mn3ZnO7,0.022536644,n,,decomposition
mp-505717,[280870],LiV6O13,0.014518676,n,,lithiation
mp-1198472,[280871],Li2V18O39,0.012923476,n,,lithiation
mp-1195443,[252035],LiMn4O8,0.005305593,n,,delithiation
