system,mp_id,icsd_ids,composition,e_above_hull,Spacegroup Number,solid_state_synthesized_composition,solid_state_synthesized_structure,sss_highest_temperature(K),sss_pressure(GPa),sss_atmosphere,sss_mixing_condition,sss_cooling_condition,sss_heating_step,single_crystal,sss_precursor,other_synthesis_method,reference,reference_year,comment,google_translate
Ag-As-O,mp-1182976,[48006],Ag2As2O7,0.040694822,P2_1/c,?,?,,,,{},{},,,,,,,ICSD 48006 contain hydrogen,N/A
Ag-As-O,mp-5408,"[28836, 35545, 76969]",Ag3AsO4,1.37E-06,P-43n,n,n,,,,{},{},,,"AgNO3, Na2HAsO4·H2O",precipitation,10.1021/j100256a054,1985,,FALSE
Ag-As-O,mp-558950,[55074],AgAsO3,0.025759472,Pca2_1,y,y,773,0.2,O2,{},{},1,,"Ag2O, As2O3",,10.1002/zaac.200300388,2004,,TRUE
Ag-Bi-O,mp-28729,[71055],Ag25Bi3O18,0.003299626,P-3,y,y,,,,{},{},,,"Ag2O, Bi2O5, H2O; Ag2O, AgBiO3, H2O",,10.1002/anie.199108831,1991,inhomogeneous,FALSE
Ag-Bi-O,mp-23558,"[415958, 415959]",Ag2BiO3,0,Pnn2,y,y,523,0.25,O2,{},{},1,,"Ag2O, Bi2O3, KOH",,10.1006/jssc.1999.8186,1999,KOH as mineralizer,FALSE
Ag-Bi-O,mp-558712,[410665],Ag2BiO3,0.00435559,Pnna,y,y,,,,{},{},,,,,10.1006/jssc.1999.8186,1999,old refinment of mp-23558,FALSE
Ag-Bi-O,mp-561113,[415960],Ag2BiO3,0.001195865,Pc,y,y,,,,{},{},,,,,10.1016/j.solidstatesciences.2006.02.002,2006,low temperature phase of mp-23558,FALSE
Ag-Bi-O,mp-505145,[73122],Ag3BiO3,0.015557188,I4_1,y,y,800,0.1,O2,{},{},1,,"Ag2O, Bi2O3",,10.1002/zaac.19936190821,1993,,TRUE
Ag-Bi-O,mp-28996,[78968],Ag4Bi2O5,0.022982483,Pnna,y,y,473,0.01,O2,{},{},1,,"Ag2O, Bi2O3",,10.1002/zaac.19966220325,1995,KOH as mineralizer,TRUE
Ag-Bi-O,mp-28812,[73123],Ag5BiO4,0,P2_1/c,y,y,800,0.1,O2,{},{},1,,"Ag2O, Bi2O3",,10.1002/zaac.19936190821,1993,,TRUE
Ag-Bi-O,mp-651048,"[201930, 62687]",Ag9Bi2O6,0.252474462,Cmcm,n,n,,,,{},{},,,Ag18Bi4O12,from melt,10.1111/j.1151-2916.1999.tb01821.x,1999,,FALSE
Ag-Bi-O,mp-23548,"[91777, 89432]",AgBiO3,0.048827766,R-3,n,n,,,,{},{},,,"NaBiO3, AgNO3",ion exchange,10.1016/S0025-5408(00)00453-0,2000,,FALSE
Ag-Ge-O,mp-554988,[38380],Ag2Ge2O5,0.03316499,P2_1/c,y,y,823,0.2,O2,"{""step1"": {""grind method"": [""ball milling""], ""wet/dry"": [], ""liquid"": []}}",{},1,,"Ag2O, GeO2",,10.1002/zaac.19845100320,1984,,TRUE
Ag-Ge-O,mp-983589,[167332],Ag2GeO3,0,P2_12_12_1,n,n,,,,{},{},,,"Na2GeO3, AgNO3",ion exchange,10.1154/1.3302837,2009,,FALSE
Ag-Ge-O,mp-560342,[78803],Ag4GeO4,0.012128869,P-1,y,y,723,0.1,O2,{},{},1,,"Ag2O, GeO2, H2O",,10.1524/zkri.1995.210.11.850,1995,water as mineralizer,TRUE
Ag-Ge-O,mp-5563,"[72317, 71897]",Ag5GeO4,0,P2_1/c,y,y,593,0.05,O2,{},{},1,,"Ag2O, Ag, GeO2, H2O;Ag2O, GeO2, H2O",,10.1002/anie.199206531,1992,water as mineralizer,FALSE
Ag-Ge-O,mp-15487,[404356],Ag6Ge2O7,0.022386085,P2_1,y,y,623,0.07,O2,{},{},1,,"Ag2O, GeO2, H2O",,10.1002/zaac.19966220317,1995,water as mineralizer,TRUE
Ag-Ge-O,mp-679950,[405506],Ag8Ge3O10,0.021942578,Pc,y,y,773,0.12,O2,{},{},1,,"Ag2O, GeO2",,10.1515/znb-1996-1111,1996,a bit questionable,TRUE
Ag-Hg-O,mp-29816,[280333],Ag2HgO2,0,P4_32_12,y,y,583,0.15,O2,{},{},1,,"Ag2O, HgO, H2O; Ag2O, HgO, KOH",,10.1039/B000400F,2000,water as mineralizer; KOH as mineralizer,FALSE
Ag-Mo-O,mp-560276,[154826],Ag2Mo2O7,0.000937099,P2_1/c,y,n,,,,{},{},,,"AgNO3, Na2MoO4·2H2O, H2O",hydrothermal,"Chinese Journal Of Structural Chemistry 24, 1452 (2005)",2005,,FALSE
Ag-Mo-O,mp-27966,[31027],Ag2Mo2O7,0,P-1,y,y,723,AP,,"{""step1"": {""grind method"": [""ball milling""], ""wet/dry"": [], ""liquid"": [""ethanol""]}}",{},1,,"Ag2O, MoO3",,10.1111/j.1551-2916.2010.03972.x,2010,,FALSE
Ag-Mo-O,mp-19318,"[238014, 238013, 36187, 28891]",Ag2MoO4,0.001020046,Fd-3m,y,y,723,AP,,"{""step1"": {""grind method"": [""ball milling""], ""wet/dry"": [], ""liquid"": []}}",{},2,,"Ag2CO3, MoO3",,10.1039/C7TC01718A,2017,beta phase,FALSE
Ag-Os-O,mp-510349,[413193],Ag13OsO6,0.020542115,Fm-3c,y,y,573,0.015,O2,{},{},1,,"Ag, Os; AgO, Os",,10.1002/anie.200351740,2003,excess Os,FALSE
Ag-Pb-O,mp-20210,"[65998, 24037]",Ag2PbO2,0.002916123,C2/c,n,n,,,,{},{},,,"AgNO3, KOH, NH3, K2PbO2",precipitation,10.3891/acta.chem.scand.04-0613,1950,,FALSE
Ag-Pb-O,mp-555565,[24038],Ag5Pb2O6,0.00024089,P31m,y,?,,,,{},{},,,,,10.1016/0022-5088(90)90309-8,1990,other refinement of mp-22286,FALSE
Ag-Pb-O,mp-22286,"[155043, 155044, 79667, 40058]",Ag5Pb2O6,0,P-31m,y,y,823,0.1,O2,{},{},1,,"Ag2O, PbO2",,10.1016/0022-5088(90)90309-8,1990,a bit questionable; another paper added trace amount of SrO and can synthesize at atmospheric pressure: 10.1134/1.2133989,TRUE
Ag-Pd-O,mp-5495,"[51498, 51499]",Ag2PdO2,0.053694778,Immm,n,n,,,,{},{},,,"AgNO3, Pd(NO3)2, KOH",co-precipitation,10.1016/S1293-2558(00)01128-6,2001,,FALSE
Ag-Rh-O,mp-1018033,[261561],AgRhO2,0.038055382,R-3m,y,y,1073,,O2,"{""step1"": {""grind method"": [""agate mortar""], ""wet/dry"": [], ""liquid"": []}}","{""step1"": {""cool rate"": [{""value"": ""180"", ""unit"": ""C/h""}], ""cool time"": [], ""cool medium"": [], ""cool type"": [], ""end temperature"": [{""value"": ""500"", ""unit"": ""C""}], ""remark"": []}, ""step2"": {""cool rate"": [], ""cool time"": [], ""cool medium"": [], ""cool type"": [""quench""], ""end temperature"": [""RT""], ""remark"": []}}",1,,"Ag, Rh2O3",,10.1021/acs.chemmater.7b04911,2018,,FALSE
Ag-Ru-O,mp-1195464,[430440],Ag3RuO4,0.098275781,C2/c,y,n,,,,{},{},,,"Ag2O, KRuO4",hydrothermal,10.1002/anie.201510576,2016,beta phase; other phase of mp-510453,FALSE
Ag-Ru-O,mp-510453,[59924],Ag3RuO4,0.065510701,P4_122,y,y,573,0.2,O2,{},{},1,y,"Ag, Ru, KOH",,10.1107/S0108270104030082,2005,KOH as mineralizer,FALSE
Ag-Sb-O,mp-1202934,[417675],Ag3SbO4,0.014565918,P4_122,y,y,823,0.22,O2,{},{},1,,"Ag2O, Sb2O3",,10.1002/zaac.201000052,2010,,FALSE
